shop.id,arm,time,date,num.cust,num.agyw,num.condom.agyw,num.oc.agyw,num.ec.agyw,num.contra.agyw,num.preg.agyw,num.hivref.agyw,num.fpref.agyw,num.pregref.agyw,num.ref.agyw,num.hivst.rec.agyw,ward,time2,num.nonagyw,agyw.prop,wday,wend,duration,hour.min.st
Comparison 6,Comparison,0,2019-08-17,9,2,0,0,0,0,0,0,0,1,1,NA,ward4,0,7,0.2222222222222222,Sat,Weekend,3.033333333333333,15.716666666666667
Comparison 7,Comparison,0,2019-07-24,5,0,0,0,0,0,0,0,0,0,0,NA,ward2,0,5,0,Wed,Weekday,3,10.033333333333333
Comparison 7,Comparison,0,2019-07-25,11,0,0,0,0,0,0,0,0,0,0,NA,ward2,0,11,0,Thu,Weekday,3,15.466666666666667
Comparison 7,Comparison,0,2019-07-27,5,0,0,0,0,0,0,0,0,0,0,NA,ward2,0,5,0,Sat,Weekend,3.033333333333333,15.05
Comparison 7,Comparison,0,2019-07-29,7,0,0,0,0,0,0,0,0,0,0,NA,ward2,0,7,0,Mon,Weekday,3,11
Comparison 7,Comparison,0,2019-08-16,19,3,0,1,0,1,1,0,0,0,0,NA,ward2,0,16,0.15789473684210525,Fri,Weekday,3,17.5
Intervention 5,Intervention (Queen Club),0,2019-07-25,5,0,0,0,0,0,0,0,0,0,0,NA,ward2,0,5,0,Thu,Weekday,3,12.5
Intervention 5,Intervention (Queen Club),0,2019-07-26,3,0,0,0,0,0,0,0,0,0,0,NA,ward2,0,3,0,Fri,Weekday,3,14.5
Intervention 5,Intervention (Queen Club),0,2019-07-28,5,0,0,0,0,0,0,0,0,0,0,NA,ward2,0,5,0,Sun,Weekend,3,16.05
Intervention 5,Intervention (Queen Club),0,2019-07-31,6,3,0,0,0,0,0,0,0,0,0,NA,ward2,0,3,0.5,Wed,Weekday,3,11
Intervention 5,Intervention (Queen Club),0,2019-08-13,3,1,0,0,0,0,0,0,0,0,0,NA,ward2,0,2,0.3333333333333333,Tue,Weekday,3,13.5
Intervention 6,Intervention (Queen Club),0,2019-07-29,9,1,0,0,0,0,0,0,0,0,0,NA,ward4,0,8,0.1111111111111111,Mon,Weekday,3,14.5
Intervention 6,Intervention (Queen Club),0,2019-07-31,17,2,0,0,0,0,0,0,0,0,0,NA,ward4,0,15,0.11764705882352941,Wed,Weekday,3,11.5
Intervention 6,Intervention (Queen Club),0,2019-08-02,5,2,0,0,0,0,0,0,0,0,0,NA,ward4,0,3,0.4,Fri,Weekday,3,9
Intervention 6,Intervention (Queen Club),0,2019-08-10,3,1,0,0,0,0,0,0,0,0,0,NA,ward4,0,2,0.3333333333333333,Sat,Weekend,3,15.5
Intervention 6,Intervention (Queen Club),0,2019-08-15,8,3,0,0,0,0,0,0,0,0,0,NA,ward4,0,5,0.375,Thu,Weekday,3,10
Comparison 8,Comparison,0,2019-08-01,8,1,0,0,0,0,0,0,0,0,0,NA,ward2,0,7,0.125,Thu,Weekday,3,17.583333333333332
Comparison 8,Comparison,0,2019-08-06,4,0,0,0,0,0,0,0,0,0,0,NA,ward2,0,4,0,Tue,Weekday,3,10.5
Comparison 8,Comparison,0,2019-08-09,11,2,0,0,0,0,0,0,0,0,0,NA,ward2,0,9,0.18181818181818182,Fri,Weekday,3,16.5
Comparison 8,Comparison,0,2019-08-17,6,0,0,0,0,0,0,0,0,0,0,NA,ward2,0,6,0,Sat,Weekend,3,15.5
Intervention 7,Intervention (Queen Club),0,2019-08-04,7,0,0,0,0,0,0,0,0,0,0,NA,ward4,0,7,0,Sun,Weekend,3,9
Intervention 7,Intervention (Queen Club),0,2019-08-05,0,0,0,0,0,0,0,0,0,0,0,NA,ward4,0,0,NA,Mon,Weekday,3,15.5
Intervention 7,Intervention (Queen Club),0,2019-08-06,3,2,0,0,0,0,0,0,0,0,0,NA,ward4,0,1,0.6666666666666666,Tue,Weekday,3.066666666666667,11.516666666666667
Intervention 7,Intervention (Queen Club),0,2019-08-14,4,1,0,0,0,0,0,0,0,0,0,NA,ward4,0,3,0.25,Wed,Weekday,3,16.5
Intervention 7,Intervention (Queen Club),0,2019-08-15,11,2,0,0,0,0,0,0,0,0,0,NA,ward4,0,9,0.18181818181818182,Thu,Weekday,3,17.5
Intervention 8,Intervention (Queen Club),0,2019-08-01,4,1,0,0,0,0,0,0,0,0,0,NA,ward4,0,3,0.25,Thu,Weekday,3,15
Intervention 8,Intervention (Queen Club),0,2019-08-02,9,2,0,0,0,0,0,0,0,0,0,NA,ward4,0,7,0.2222222222222222,Fri,Weekday,3,15.5
Intervention 8,Intervention (Queen Club),0,2019-08-04,3,0,0,0,0,0,0,0,0,0,0,NA,ward4,0,3,0,Sun,Weekend,3,11.5
Intervention 8,Intervention (Queen Club),0,2019-08-05,3,1,0,0,0,0,0,0,0,0,0,NA,ward4,0,2,0.3333333333333333,Mon,Weekday,3.0166666666666666,14.65
Intervention 8,Intervention (Queen Club),0,2019-08-13,12,0,0,0,0,0,0,0,0,0,0,NA,ward4,0,12,0,Tue,Weekday,3,18.5
Intervention 9,Intervention (Queen Club),0,2019-08-07,12,2,0,0,0,0,0,0,0,0,0,NA,ward1,0,10,0.16666666666666666,Wed,Weekday,3,15
Intervention 9,Intervention (Queen Club),0,2019-08-08,8,4,0,0,0,0,0,0,0,0,0,NA,ward1,0,4,0.5,Thu,Weekday,3.0833333333333335,13.25
Intervention 9,Intervention (Queen Club),0,2019-08-10,10,0,0,0,0,0,0,0,0,0,0,NA,ward1,0,10,0,Sat,Weekend,3,11.5
Intervention 9,Intervention (Queen Club),0,2019-08-13,9,0,0,0,0,0,0,0,0,0,0,NA,ward1,0,9,0,Tue,Weekday,3,7.5
Comparison 9,Comparison,0,2019-08-15,5,0,0,0,0,0,0,0,0,0,0,NA,ward4,0,5,0,Thu,Weekday,3,13.25
Comparison 9,Comparison,0,2019-08-16,6,1,0,0,0,0,0,0,0,0,0,NA,ward4,0,5,0.16666666666666666,Fri,Weekday,3,8.5
Comparison 9,Comparison,0,2019-08-17,5,2,0,0,1,1,0,0,0,0,0,NA,ward4,0,3,0.4,Sat,Weekend,3,9.5
